method,p_edge,p,n,k_star,seed,shd,adjacency_precision,adjacency_recall,adjacency_f1,arrowhead_precision,arrowhead_recall,arrowhead_f1
ges,0.5,30,300,5,18,261.0,0.5392491467576792,0.7117117117117117,0.6135922330097088,0.32764505119453924,0.43636363636363634,0.3742690058479532
pc,0.5,30,300,5,19,210.0,0.85,0.07981220657276995,0.1459227467811159,0.375,0.028708133971291867,0.05333333333333334
ges,0.5,30,300,5,19,268.0,0.5050167224080268,0.7089201877934272,0.5898437499999999,0.3110367892976589,0.4449760765550239,0.3661417322834646
pc,0.6,30,300,5,0,259.0,0.7666666666666667,0.08846153846153847,0.1586206896551724,0.3076923076923077,0.0311284046692607,0.05653710247349823
ges,0.6,30,300,5,0,249.0,0.62,0.7153846153846154,0.6642857142857143,0.4180602006688963,0.48638132295719844,0.44964028776978415
pc,0.6,30,300,5,1,274.0,0.84,0.07664233576642336,0.14046822742474918,0.2222222222222222,0.014705882352941176,0.027586206896551724
ges,0.6,30,300,5,1,275.0,0.6472491909385113,0.7299270072992701,0.6861063464837049,0.35064935064935066,0.39705882352941174,0.3724137931034483
pc,0.6,30,300,5,2,269.0,0.7142857142857143,0.03759398496240601,0.07142857142857142,0.1,0.0037735849056603774,0.007272727272727273
ges,0.6,30,300,5,2,248.0,0.6327868852459017,0.7255639097744361,0.6760070052539404,0.42857142857142855,0.4867924528301887,0.4558303886925795
pc,0.6,30,300,5,3,272.0,0.75,0.043795620437956206,0.08275862068965519,0.45454545454545453,0.01838235294117647,0.0353356890459364
ges,0.6,30,300,5,3,281.0,0.6313725490196078,0.5875912408759124,0.6086956521739131,0.3438735177865613,0.31985294117647056,0.33142857142857146
pc,0.6,30,300,5,4,271.0,0.7368421052631579,0.05128205128205128,0.0958904109589041,0.4117647058823529,0.025735294117647058,0.04844290657439446
ges,0.6,30,300,5,4,317.0,0.6151202749140894,0.6556776556776557,0.6347517730496455,0.23183391003460208,0.24632352941176472,0.23885918003565063
pc,0.6,30,300,5,5,246.0,0.76,0.07692307692307693,0.1397058823529412,0.3684210526315789,0.029288702928870293,0.05426356589147286
ges,0.6,30,300,5,5,248.0,0.5957446808510638,0.680161943319838,0.6351606805293005,0.4036363636363636,0.46443514644351463,0.4319066147859922
pc,0.6,30,300,5,6,259.0,0.71875,0.08812260536398467,0.1569965870307167,0.36666666666666664,0.04330708661417323,0.07746478873239437
ges,0.6,30,300,5,6,314.0,0.6013745704467354,0.6704980842911877,0.6340579710144928,0.21951219512195122,0.24803149606299213,0.23290203327171904
pc,0.6,30,300,5,7,266.0,0.7391304347826086,0.06273062730627306,0.11564625850340134,0.5882352941176471,0.03731343283582089,0.07017543859649122
ges,0.6,30,300,5,7,248.0,0.6363636363636364,0.7232472324723247,0.6770293609671848,0.4411764705882353,0.503731343283582,0.47038327526132406
pc,0.6,30,300,5,8,263.0,0.5384615384615384,0.05511811023622047,0.09999999999999999,0.1,0.008130081300813009,0.015037593984962407
ges,0.6,30,300,5,8,280.0,0.5857142857142857,0.6456692913385826,0.6142322097378278,0.3249097472924188,0.36585365853658536,0.34416826003824086
pc,0.6,30,300,5,9,250.0,0.8888888888888888,0.032,0.06177606177606177,0.5,0.004,0.007936507936507936
ges,0.6,30,300,5,9,249.0,0.583596214511041,0.74,0.6525573192239859,0.4195583596214511,0.532,0.4691358024691358
pc,0.6,30,300,5,10,280.0,0.8333333333333334,0.07092198581560284,0.13071895424836602,0.3333333333333333,0.021505376344086023,0.04040404040404041
ges,0.6,30,300,5,10,284.0,0.6266233766233766,0.6843971631205674,0.6542372881355932,0.369281045751634,0.4050179211469534,0.38632478632478634
pc,0.6,30,300,5,11,264.0,0.6875,0.0421455938697318,0.07942238267148015,0.16666666666666666,0.003861003861003861,0.007547169811320756
ges,0.6,30,300,5,11,271.0,0.6182432432432432,0.7011494252873564,0.6570915619389588,0.3539518900343643,0.39768339768339767,0.3745454545454546
pc,0.6,30,300,5,12,261.0,0.8888888888888888,0.030418250950570342,0.058823529411764705,0.5,0.011583011583011582,0.022641509433962263
ges,0.6,30,300,5,12,285.0,0.6214285714285714,0.6615969581749049,0.6408839779005524,0.30434782608695654,0.32432432432432434,0.31401869158878504
pc,0.6,30,300,5,13,280.0,0.75,0.05357142857142857,0.09999999999999999,0.4166666666666667,0.017985611510791366,0.034482758620689655
ges,0.6,30,300,5,13,291.0,0.6254180602006689,0.6678571428571428,0.6459412780656303,0.3389261744966443,0.36330935251798563,0.3506944444444445
pc,0.6,30,300,5,14,271.0,0.8,0.044444444444444446,0.08421052631578947,0.0,0.0,0.0
ges,0.6,30,300,5,14,272.0,0.6,0.6333333333333333,0.6162162162162161,0.3908450704225352,0.4220532319391635,0.40585009140767825
pc,0.6,30,300,5,15,268.0,0.7058823529411765,0.04477611940298507,0.08421052631578947,0.35714285714285715,0.01893939393939394,0.03597122302158273
ges,0.6,30,300,5,15,286.0,0.6232394366197183,0.6604477611940298,0.6413043478260869,0.31338028169014087,0.3371212121212121,0.32481751824817523
pc,0.6,30,300,5,16,285.0,0.9,0.03146853146853147,0.06081081081081082,,0.0,0.0
ges,0.6,30,300,5,16,252.0,0.6541095890410958,0.6678321678321678,0.6608996539792387,0.45674740484429066,0.4748201438848921,0.4656084656084656
pc,0.6,30,300,5,17,255.0,0.7391304347826086,0.06563706563706563,0.12056737588652482,0.45454545454545453,0.038910505836575876,0.07168458781362007
ges,0.6,30,300,5,17,266.0,0.6081081081081081,0.694980694980695,0.6486486486486487,0.36824324324324326,0.42412451361867703,0.3942133815551537
pc,0.6,30,300,5,18,268.0,0.8461538461538461,0.04119850187265917,0.07857142857142857,0.125,0.004,0.007751937984496124
ges,0.6,30,300,5,18,265.0,0.6333333333333333,0.7116104868913857,0.6701940035273368,0.37333333333333335,0.448,0.4072727272727273
pc,0.6,30,300,5,19,271.0,0.782608695652174,0.06593406593406594,0.12162162162162163,0.4,0.022304832713754646,0.04225352112676056
ges,0.6,30,300,5,19,269.0,0.656957928802589,0.7435897435897436,0.697594501718213,0.3618421052631579,0.40892193308550184,0.38394415357766143
pc,0.7,30,300,5,0,306.0,0.625,0.033003300330033,0.06269592476489029,0.2727272727272727,0.01,0.019292604501607715
ges,0.7,30,300,5,0,278.0,0.6764705882352942,0.6831683168316832,0.6798029556650248,0.41,0.41,0.41
pc,0.7,30,300,5,1,317.0,0.6666666666666666,0.031545741324921134,0.06024096385542168,0.4444444444444444,0.012658227848101266,0.024615384615384612
ges,0.7,30,300,5,1,297.0,0.689419795221843,0.637223974763407,0.6622950819672132,0.378839590443686,0.3512658227848101,0.3645320197044335
pc,0.7,30,300,5,2,311.0,0.7,0.022727272727272728,0.0440251572327044,0.0,0.0,0.0
ges,0.7,30,300,5,2,303.0,0.7030716723549488,0.6688311688311688,0.6855241264559068,0.31399317406143346,0.2987012987012987,0.30615640599001664
pc,0.7,30,300,5,3,313.0,0.875,0.04430379746835443,0.08433734939759036,0.7142857142857143,0.01592356687898089,0.031152647975077878
ges,0.7,30,300,5,3,288.0,0.7094594594594594,0.6645569620253164,0.6862745098039216,0.3904109589041096,0.3630573248407643,0.37623762376237624
pc,0.7,30,300,5,4,314.0,1.0,0.01592356687898089,0.03134796238244514,0.0,0.0,0.0
ges,0.7,30,300,5,4,263.0,0.7033333333333334,0.6719745222929936,0.6872964169381107,0.4666666666666667,0.4472843450479233,0.45676998368678634
pc,0.7,30,300,5,5,290.0,0.875,0.04778156996587031,0.09061488673139159,0.4166666666666667,0.017605633802816902,0.033783783783783786
ges,0.7,30,300,5,5,322.0,0.6105610561056105,0.6313993174061433,0.6208053691275168,0.2966666666666667,0.31338028169014087,0.3047945205479452
pc,0.7,30,300,5,6,300.0,0.78125,0.08223684210526316,0.14880952380952384,0.34375,0.03691275167785235,0.06666666666666667
ges,0.7,30,300,5,6,245.0,0.6959459459459459,0.6776315789473685,0.6866666666666666,0.5068027210884354,0.5,0.5033783783783784
pc,0.7,30,300,5,7,316.0,0.8181818181818182,0.028391167192429023,0.0548780487804878,0.42857142857142855,0.009615384615384616,0.018808777429467086
ges,0.7,30,300,5,7,315.0,0.7021276595744681,0.6246056782334385,0.66110183639399,0.30935251798561153,0.27564102564102566,0.2915254237288136
pc,0.7,30,300,5,8,301.0,0.7777777777777778,0.023333333333333334,0.045307443365695796,0.3333333333333333,0.0034129692832764505,0.006756756756756757
ges,0.7,30,300,5,8,330.0,0.6498316498316499,0.6433333333333333,0.6465661641541038,0.2525597269624573,0.2525597269624573,0.2525597269624573
pc,0.7,30,300,5,9,294.0,0.8461538461538461,0.037162162162162164,0.07119741100323625,0.25,0.010169491525423728,0.019543973941368076
ges,0.7,30,300,5,9,211.0,0.7114093959731543,0.7162162162162162,0.7138047138047138,0.5757575757575758,0.5796610169491525,0.5777027027027027
pc,0.7,30,300,5,10,328.0,0.6666666666666666,0.01834862385321101,0.03571428571428572,0.0,0.0,0.0
ges,0.7,30,300,5,10,261.0,0.7165605095541401,0.6880733944954128,0.7020280811232449,0.49363057324840764,0.4783950617283951,0.4858934169278997
pc,0.7,30,300,5,11,303.0,0.8,0.039603960396039604,0.07547169811320754,0.25,0.009966777408637873,0.019169329073482427
ges,0.7,30,300,5,11,291.0,0.6783216783216783,0.6402640264026402,0.6587436332767402,0.36619718309859156,0.34551495016611294,0.35555555555555557
pc,0.7,30,300,5,12,301.0,0.8888888888888888,0.02622950819672131,0.050955414012738856,0.5,0.006644518272425249,0.013114754098360656
ges,0.7,30,300,5,12,348.0,0.6655518394648829,0.6524590163934426,0.6589403973509933,0.1912751677852349,0.1893687707641196,0.19031719532554253
pc,0.7,30,300,5,13,321.0,0.75,0.04672897196261682,0.0879765395894428,0.4,0.012578616352201259,0.024390243902439025
ges,0.7,30,300,5,13,285.0,0.7183544303797469,0.7071651090342679,0.7127158555729983,0.39556962025316456,0.39308176100628933,0.3943217665615142
pc,0.7,30,300,5,14,308.0,0.8695652173913043,0.0641025641025641,0.11940298507462685,0.35294117647058826,0.01948051948051948,0.03692307692307692
ges,0.7,30,300,5,14,266.0,0.685064935064935,0.6762820512820513,0.6806451612903225,0.4673202614379085,0.4642857142857143,0.46579804560260585
pc,0.7,30,300,5,15,307.0,0.7692307692307693,0.06472491909385113,0.11940298507462686,0.3333333333333333,0.022950819672131147,0.042944785276073615
ges,0.7,30,300,5,15,266.0,0.6993670886075949,0.7152103559870551,0.7072,0.4380952380952381,0.4524590163934426,0.44516129032258067
pc,0.7,30,300,5,16,324.0,0.9090909090909091,0.030864197530864196,0.059701492537313425,0.25,0.003134796238244514,0.006191950464396284
ges,0.7,30,300,5,16,305.0,0.7114624505928854,0.5555555555555556,0.6239168110918544,0.36507936507936506,0.2884012539184953,0.3222416812609457
pc,0.7,30,300,5,17,297.0,0.8947368421052632,0.056291390728476824,0.10591900311526481,0.5,0.023333333333333334,0.0445859872611465
ges,0.7,30,300,5,17,324.0,0.6830065359477124,0.6920529801324503,0.6875,0.2459016393442623,0.25,0.24793388429752067
pc,0.7,30,300,5,18,310.0,0.8235294117647058,0.04516129032258064,0.0856269113149847,0.1111111111111111,0.003436426116838488,0.006666666666666666
ges,0.7,30,300,5,18,315.0,0.6936026936026936,0.6645161290322581,0.6787479406919275,0.29152542372881357,0.29553264604810997,0.2935153583617748
pc,0.7,30,300,5,19,321.0,0.75,0.05660377358490566,0.10526315789473685,0.1,0.006622516556291391,0.012422360248447204
ges,0.7,30,300,5,19,321.0,0.6688524590163935,0.6415094339622641,0.6548956661316212,0.3234323432343234,0.32450331125827814,0.3239669421487603
